author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Sminex;developer;https://www.cian.ru/sale/flat/303125654/;Москва;sale;flat;8;14;1;44.6;25870000;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/296060335/;Москва;sale;flat;51;53;2;37.4;19500000;Очаково-Матвеевское;;к1;Мичуринский проспект;Левел Мичуринский ЖК
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380294/;Москва;sale;flat;4;19;2;62.1;27572400;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/290380842/;Москва;sale;flat;33;73;2;103.0;110000000;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/304087556/;Москва;sale;flat;7;15;2;40.8;24984579;Раменки;Винницкая ;8к3;Раменки;Настоящее
Артем Ченцов;realtor;https://www.cian.ru/sale/flat/302772342/;Москва;sale;flat;9;30;2;49.8;26000000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
Sense Development;developer;https://www.cian.ru/sale/flat/298147711/;Москва;sale;flat;12;13;1;43.7;27609617;Даниловский;Подольское шоссе;3;Тульская;Logos
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9700000;Гольяново;Уральская ;1;Щёлковская;
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/302833885/;Москва;sale;flat;42;66;2;67.4;64704000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/294511036/;Москва;sale;flat;4;23;2;90.6;45000000;Хорошевский; Гризодубовой;2;ЦСКА;Гранд-парк
КРОСТ;developer;https://www.cian.ru/sale/flat/296745539/;Москва;sale;flat;21;28;1;36.9;18117900;Хорошево-Мневники; Генерала Глаголева;;;CRYSTAL Трилогия
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301520504/;Москва;sale;flat;2;21;2;116.0;142000000;Пресненский; Костикова;4к3;Улица 1905 года;Lucky
Sminex;developer;https://www.cian.ru/sale/flat/304094787/;Москва;sale;flat;3;24;1;51.4;53340000;Пресненский;Электрический переулок;1с22;Белорусская;Квартал Тишинский бульвар
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301353911/;Москва;sale;flat;5;7;2;69.7;100564740;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/304095934/;Москва;sale;flat;4;50;2;68.5;29372800;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/303910013/;Москва;sale;flat;5;17;2;58.0;19150000;Марьино;Новочеркасский бульвар;47;Марьино;
MR Group;developer;https://www.cian.ru/sale/flat/301223453/;Москва;sale;flat;2;39;2;60.57;21980883;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/302903145/;Москва;sale;flat;10;12;2;44.0;10600000;Дмитровский;Клязьминская ;4;Грачёвская;
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;133830000;Якиманка;;;Полянка;Лаврушинский ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303779368/;Москва;sale;flat;9;12;1;35.0;10200000;Новогиреево;Союзный проспект;20К1;Новогиреево;
Hutton Development;developer;https://www.cian.ru/sale/flat/299066783/;Москва;sale;flat;3;17;2;100.6;50199400;Гагаринский;Ленинский проспект;38;Ленинский проспект;Lunar
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/299893948/;Москва;sale;flat;5;16;1;38.9;10990000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/297536389/;Москва;sale;flat;24;25;2;54.7;22427000;Щукино; Берзарина;32;Щукинская;Октябрьское поле
Данил Пшеничный;realtor;https://www.cian.ru/sale/flat/303857944/;Москва;sale;flat;16;35;1;39.1;19000000;Останкинский; Годовикова;11к4;Алексеевская;iLove
Level Group;developer;https://www.cian.ru/sale/flat/302985345/;Москва;sale;flat;2;11;2;31.0;27492377;Хорошево-Мневники;Причальный проезд;10А;Шелепиха;Level Причальный
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300015723/;Москва;sale;flat;20;39;2;64.0;37000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Level Group;developer;https://www.cian.ru/sale/flat/301555238/;Москва;sale;flat;13;24;2;45.6;19226800;Покровское-Стрешнево;Северо-Западный ао;;Тушинская;Левел Стрешнево ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/290001136/;Москва;sale;flat;2;6;2;75.0;84750000;Замоскворечье;Большой Ордынский переулок;4С4;Третьяковская;Собрание клубных домов ORDYNKA
Группа Родина;developer;https://www.cian.ru/sale/flat/293156291/;Москва;sale;flat;2;24;1;40.3;23694900;Ростокино;;к3;Ботанический сад;Союз ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299723346/;Москва;sale;flat;63;66;1;86.0;90000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
MR Group;developer;https://www.cian.ru/sale/flat/303541823/;Москва;sale;flat;18;44;1;41.34;21971194;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Алина Валиуллина;realtor;https://www.cian.ru/sale/flat/304000697/;Москва;sale;flat;5;12;2;52.0;28900000;Мещанский;переулок Васнецова;3;Цветной бульвар;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/292534789/;Москва;sale;flat;2;25;2;54.5;18393750;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302998801/;Москва;sale;flat;9;9;2;46.0;27600000;Хамовники;3-я Фрунзенская ;17;Спортивная;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/300921483/;Москва;sale;flat;2;19;2;62.8;25170240;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303779112/;Москва;sale;flat;16;17;1;38.2;9400000;Орехово-Борисово Южное;Гурьевский проезд;31К2;Зябликово;
Level Group;developer;https://www.cian.ru/sale/flat/303284920/;Москва;sale;flat;29;31;2;40.1;18747400;Западное Дегунино;Северный ао;к3;Верхние Лихоборы;Левел Селигерская ЖК
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/301259458/;Москва;sale;flat;3;26;2;36.0;16580000;Лефортово; Крузенштерна;12к3;Авиамоторная;Символ
Основа;developer;https://www.cian.ru/sale/flat/297432252/;Москва;sale;flat;4;31;2;46.05;21183000;Марфино;;к1;Улица Милашенкова;Вери ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/302590858/;Москва;sale;flat;3;8;2;59.3;48800000;Даниловский;Хавская ;9;Шаболовская;Residence Hall Шаболовский
Level Group;developer;https://www.cian.ru/sale/flat/302621324/;Москва;sale;flat;2;64;2;34.9;19444126;Хорошево-Мневники;;;Народное Ополчение;Левел Звенигородская ЖК
EXCLUSIVE CITY;real_estate_agent;https://www.cian.ru/sale/flat/298381402/;Москва;sale;flat;8;21;2;51.0;45000000;Пресненский;набережная Пресненская;10с2;Деловой центр;МФК IQ-квартал
Группа Родина;developer;https://www.cian.ru/sale/flat/293200702/;Москва;sale;flat;11;13;2;47.0;14817000;; 1-я Ватутинская;12к2;Ольховая;Russian Design District
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/303275971/;Москва;sale;flat;3;13;2;65.6;49800000;Пресненский;Большая Садовая ;5к1;Маяковская;Квартал апартаментов Сады Пекина
Level Group;developer;https://www.cian.ru/sale/flat/301565134/;Москва;sale;flat;11;23;2;34.9;12063811;Печатники;;13;Кожуховская;Левел Южнопортовая ЖК
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/303397064/;Москва;sale;flat;30;41;2;57.0;30000000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
GloraX;developer;https://www.cian.ru/sale/flat/303477025/;Москва;sale;flat;4;21;1;53.11;29079999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
ФОРА;real_estate_agent;https://www.cian.ru/sale/flat/302745451/;Москва;sale;flat;6;6;2;64.2;26500000;Хорошевский;2-й Хорошевский проезд;9К1;Беговая;
Sminex;developer;https://www.cian.ru/sale/flat/303262675/;Москва;sale;flat;20;26;1;35.93;21290000;Марфино; Академика Королева;21;Бутырская;Дом Достижение
ID 50126037;homeowner;https://www.cian.ru/sale/flat/303879410/;Москва;sale;flat;11;85;2;89.4;55000000;Пресненский;1-й Красногвардейский проезд;21с2;Деловой центр;МФК ОКО
Forma;developer;https://www.cian.ru/sale/flat/300339509/;Москва;sale;flat;4;29;1;37.3;20421750;Аэропорт;Часовая ;28к8;Сокол;SOUL
ЛИДЕР Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/303615604/;Москва;sale;flat;15;40;2;48.0;43900000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
St Michael;developer;https://www.cian.ru/sale/flat/303024911/;Москва;sale;flat;16;21;2;58.28;25323650;Хорошевский;9Ак7;9Ак7;Полежаевская;Зорге 9 ЖК
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301480836/;Москва;sale;flat;3;7;2;70.0;90960000;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
Трансстройинвест;developer;https://www.cian.ru/sale/flat/296303052/;Москва;sale;flat;3;8;1;62.7;89465815;Мещанский;Большой Кисельный переулок;11/2с2;Тургеневская;Frank's house
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042655/;Москва;sale;flat;37;79;1;78.0;80000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Forma;developer;https://www.cian.ru/sale/flat/300149586/;Москва;sale;flat;5;20;2;64.41;23811037;Даниловский;Автозаводская ;26;Тульская;FORST
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/300006052/;Москва;sale;flat;2;5;2;103.0;149980000;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
Мангазея;developer;https://www.cian.ru/sale/flat/304059472/;Москва;sale;flat;13;41;2;64.8;27254880;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/303637932/;Москва;sale;flat;8;28;2;61.6;30000000;Раменки;Винницкая ;8к4;Раменки;Настоящее
ID 111759195;developer;https://www.cian.ru/sale/flat/296871994/;Москва;sale;flat;13;30;2;38.2;12839096;Рязанский;Рязанский проспект;;Окская;balance
Universal Realty;real_estate_agent;https://www.cian.ru/sale/flat/304055272/;Москва;sale;flat;20;20;2;51.0;32800000;Филевский парк;Большая Филевская ;3к2;Фили;Западный порт
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/302795522/;Москва;sale;flat;2;20;2;36.0;13795200;Головинский;Михалковская ;48С4;Коптево;Михалковский
ID 107105027;homeowner;https://www.cian.ru/sale/flat/303420117/;Москва;sale;flat;8;12;2;100.0;69000000;Аэропорт;Ленинградский проспект;36с30;Петровский Парк;ВТБ Арена парк
MR Group;developer;https://www.cian.ru/sale/flat/298874818/;Москва;sale;flat;5;36;1;40.8;28362079;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/303742934/;Москва;sale;flat;7;12;2;78.0;104690000;Хамовники; Ефремова;10с1к4/2;Фрунзенская;Садовые кварталы
Prime Life Development;developer;https://www.cian.ru/sale/flat/301781621/;Москва;sale;flat;12;25;1;40.2;23056412;Нагатино-Садовники;;;Нагатинская;Первый Нагатинский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303207257/;Москва;sale;flat;13;21;2;70.0;35500000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Центр-Инвест;developer;https://www.cian.ru/sale/flat/299384199/;Москва;sale;flat;2;35;2;43.1;18070574;Левобережный;Фестивальная ;15к24/1;Речной вокзал;Фестиваль парк-2
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302747341/;Москва;sale;flat;15;32;2;64.0;59000000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/301514338/;Москва;sale;flat;3;25;1;38.65;17201278;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
;;https://www.cian.ru/sale/flat/301960480/;Москва;sale;flat;1;4;2;53.8;9400000;Фили-Давыдково; Алексея Свиридова;1;Кунцевская;
КОРТРОС;developer;https://www.cian.ru/sale/flat/302789652/;Москва;sale;flat;14;49;1;40.1;17964800;Марьина роща;;;Марьина Роща;Тэйт ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/302591225/;Москва;sale;flat;9;28;1;34.7;14800000;Богородское;Открытое шоссе;14Д;Бульвар Рокоссовского;Талисман на Рокоссовского
Sminex;developer;https://www.cian.ru/sale/flat/303649388/;Москва;sale;flat;22;23;1;298.3;448200000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/300032614/;Москва;sale;flat;2;9;2;46.0;10300000;Текстильщики;Грайвороновская ;18К3;Текстильщики;
Донстрой;developer;https://www.cian.ru/sale/flat/304095698/;Москва;sale;flat;2;16;1;54.7;42086180;Раменки; Сергея Бондарчука;2;Мичуринский проспект;Река
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/303375655/;Москва;sale;flat;10;12;1;38.0;15950000;КРАСИВАЯ квартира в шикарном е1-комн. квартира;38 м²;;;
Level Group;developer;https://www.cian.ru/sale/flat/303453829/;Москва;sale;flat;2;37;2;37.4;16591724;Нижегородский;;3;Нижегородская;Левел Нижегородская ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/295467334/;Москва;sale;flat;5;10;2;106.2;70000000;Хамовники; Пречистенка;40/2С4;Парк Культуры;
MR Group;developer;https://www.cian.ru/sale/flat/303861522/;Москва;sale;flat;2;54;1;36.06;20713585;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/303527409/;Москва;sale;flat;3;18;1;30.6;10500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Основа;developer;https://www.cian.ru/sale/flat/286347121/;Москва;sale;flat;2;29;1;45.7;14194420;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301194318/;Москва;sale;flat;16;17;2;37.7;9290000;;;к10-11;Бунинская аллея;Эко Бунино ЖК
LEGENDA Intelligent Development;developer;https://www.cian.ru/sale/flat/302223488/;Москва;sale;flat;54;57;1;36.2;18060180;Левобережный;Ленинградское шоссе;;Беломорская;Северный порт. Береговые кварталы
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302398147/;Москва;sale;flat;15;25;1;39.0;17900000;Даниловский;1-я оч.;к13;Технопарк;Shagal
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298329420/;Москва;sale;flat;2;9;1;49.2;50910200;Таганский;Серебрянический переулок;6;Китай-город;Титул на Серебрянической
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/303952576/;Москва;sale;flat;4;17;2;55.0;21750000;Раменки; Раменки;12;Раменки;
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/302037458/;Москва;sale;flat;2;46;2;63.8;43657111;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/303116228/;Москва;sale;flat;5;22;1;41.0;11200000;Бирюлево Восточное;6-я Радиальная ;7/1к2;Царицыно;Царицыно-2
Основа;developer;https://www.cian.ru/sale/flat/293623772/;Москва;sale;flat;6;28;1;43.5;17182500;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
Наталья Ронжина;realtor;https://www.cian.ru/sale/flat/301614406/;Москва;sale;flat;2;8;2;42.3;18800000;Аэропорт;Ленинградский проспект;78К2;Сокол;
Sminex;developer;https://www.cian.ru/sale/flat/294328835/;Москва;sale;flat;3;6;1;78.7;164750000;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
ID 515728;unknown;https://www.cian.ru/sale/flat/304001773/;Москва;sale;flat;5;9;2;35.0;13850000;Коптево;4-й Новомихалковский проезд;6;Лихоборы;
Tekta Group;developer;https://www.cian.ru/sale/flat/303506233/;Москва;sale;flat;8;28;1;39.7;17789570;Нагорный;;1;Нагорная;Твелв ЖК
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/303936001/;Москва;sale;flat;17;24;1;29.1;8500000;Митино;Митинская ;16;Митино;Апарт-отель YE’S
Пионер;developer;https://www.cian.ru/sale/flat/301460115/;Москва;sale;flat;6;26;1;24.4;19216171;Даниловский;;;Павелецкая;Хай Лайф ЖК
CROCUS ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303790976/;Москва;sale;flat;13;32;2;77.0;36000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Донстрой;developer;https://www.cian.ru/sale/flat/304095278/;Москва;sale;flat;3;18;2;56.1;29906910;Хорошево-Мневники;проезд Проектируемый № 1074;;Терехово ;Остров
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/302397364/;Москва;sale;flat;9;11;2;83.3;37100000;Беговой;Ленинградский проспект;35С2;Петровский Парк;Квартал апартаментов Искра-Парк
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298576242/;Москва;sale;flat;15;22;2;38.4;29255040;Красносельский;Большая Спасская ;35;Площадь трёх вокзалов;Dialog
Ирина Савельева;realtor;https://www.cian.ru/sale/flat/297485415/;Москва;sale;flat;10;17;2;38.0;10400000;; Бачуринская;13;Бачуринская;Новая Звезда
Upside Development;developer;https://www.cian.ru/sale/flat/303215964/;Москва;sale;flat;11;12;1;46.2;28644000;Даниловский;2-я Рощинская ;1;Тульская;Данилов дом
Алеся Лунина;realtor;https://www.cian.ru/sale/flat/301746592/;Москва;sale;flat;16;16;2;53.6;17500000;Тропарево-Никулино; Академика Анохина;38К1;Юго-Западная;
Capital Group;developer;https://www.cian.ru/sale/flat/301482951/;Москва;sale;flat;12;18;1;48.3;58149819;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300655937/;Москва;sale;flat;15;29;2;72.0;40000000;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;Sydney City
MR Group;developer;https://www.cian.ru/sale/flat/282209329/;Москва;sale;flat;2;57;1;42.52;24463584;Филевский парк;;;Фили;Фили Сити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766765/;Москва;sale;flat;4;20;2;76.6;62046000;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
3SGroup;developer;https://www.cian.ru/sale/flat/299381088/;Москва;sale;flat;4;17;2;49.5;11498837;;;;Корниловская;FOREVILLE
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299250573/;Москва;sale;flat;4;22;2;55.0;42500000;Якиманка;Мытная ;40к1;Октябрьская;Sky House
Минские холмы;developer;https://www.cian.ru/sale/flat/298045259/;Москва;sale;flat;8;52;2;53.8;21824030;Раменки;проспект Генерала Дорохова;вл1к1;Раменки;Will Towers
